Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,276.709991,280.299988,270.000000,271.040009,270.953094,42771300
2023-04-21,269.519989,271.829987,267.220001,271.190002,271.103058,34510300
2023-04-24,270.130005,273.660004,266.709991,270.420013,270.333282,33928200
2023-04-25,270.779999,272.470001,262.250000,262.410004,262.325867,37852700
2023-04-26,270.019989,273.299988,267.049988,269.559998,269.473602,40633700
2023-04-27,273.630005,274.950012,266.250000,272.260010,272.172729,37716100
2023-04-28,272.250000,277.579987,270.709991,277.489990,277.401001,29168700
2023-05-01,278.399994,290.579987,277.799988,289.100006,289.007324,57032900
2023-05-02,286.799988,288.359985,280.829987,282.100006,282.009552,40273000
2023-05-03,278.399994,283.670013,274.720001,278.019989,277.930847,38338700
2023-05-04,276.510010,278.589996,272.399994,275.619995,275.531616,32185000
2023-05-05,278.260010,287.549988,277.309998,286.799988,286.708038,36101400
2023-05-08,285.220001,292.200012,283.500000,291.510010,291.416534,34497900
2023-05-09,288.989990,289.730011,284.500000,285.709991,285.618378,31486900
2023-05-10,290.049988,291.130005,284.609985,288.850006,288.757385,36935000
2023-05-11,288.959991,289.500000,282.459991,285.779999,285.688385,32214900
2023-05-12,285.290009,287.799988,280.459991,283.399994,283.309113,27402700
2023-05-15,285.079987,289.690002,281.519989,289.529999,289.437164,29392600
2023-05-16,288.410004,298.700012,288.320007,292.130005,292.036377,44940500
2023-05-17,295.839996,301.989990,294.299988,301.779999,301.683258,43253500
2023-05-18,304.100006,318.279999,303.200012,316.779999,316.678436,74872500
2023-05-19,315.359985,315.799988,309.160004,312.640015,312.539764,47312400
2023-05-22,309.010010,315.200012,306.799988,311.760010,311.660065,37200000
2023-05-23,310.000000,312.880005,306.309998,306.880005,306.781616,35625300
2023-05-24,302.100006,306.070007,298.059998,305.380005,305.282104,72141900
2023-05-25,385.230011,394.799988,366.350006,379.799988,379.678192,154391100
2023-05-26,378.899994,391.700012,375.500000,389.459991,389.335114,71439700
2023-05-30,405.950012,419.380005,399.489990,401.109985,400.981354,92340100
2023-05-31,394.880005,402.950012,378.220001,378.339996,378.218658,100258000
2023-06-01,384.890015,400.500000,383.399994,397.700012,397.572540,63587300
2023-06-02,400.970001,405.000000,390.579987,393.269989,393.143921,48165500
2023-06-05,389.089996,395.649994,387.070007,391.709991,391.584412,39609400
2023-06-06,388.299988,391.600006,381.480011,386.540009,386.416077,38872900
2023-06-07,389.149994,394.989990,373.559998,374.750000,374.668640,51199800
2023-06-08,377.239990,388.640015,375.049988,385.100006,385.016388,41777200
2023-06-09,390.369995,397.109985,385.670013,387.700012,387.615814,42722000
2023-06-12,392.000000,395.299988,386.179993,394.820007,394.734253,38870100
2023-06-13,401.859985,411.010010,397.399994,410.220001,410.130890,61320800
2023-06-14,408.239990,430.000000,405.519989,429.970001,429.876587,74046500
2023-06-15,426.019989,432.890015,421.470001,426.529999,426.437347,56862200
2023-06-16,434.500000,437.209991,426.609985,426.920013,426.827301,65475500
2023-06-20,429.980011,439.899994,426.739990,438.079987,437.984863,45115300
2023-06-21,435.010010,436.149994,420.799988,430.450012,430.356506,55160300
2023-06-22,422.529999,434.260010,422.339996,430.250000,430.156586,41773700
2023-06-23,424.640015,428.089996,420.149994,422.089996,421.998322,35632300
2023-06-26,424.609985,427.640015,401.000000,406.320007,406.231750,59432200
2023-06-27,407.989990,419.399994,404.480011,418.760010,418.669067,46217500
2023-06-28,406.600006,418.450012,405.179993,411.170013,411.080719,58263900
2023-06-29,415.579987,416.000000,406.000000,408.220001,408.131348,38051400
2023-06-30,416.799988,425.500000,415.010010,423.019989,422.928101,50053400
2023-07-03,425.170013,428.980011,422.019989,424.130005,424.037872,19820900
2023-07-05,421.350006,431.769989,420.850006,423.170013,423.078125,32361800
2023-07-06,418.440002,421.790009,413.459991,421.029999,420.938568,30358200
2023-07-07,423.220001,432.140015,421.799988,425.029999,424.937714,35525300
2023-07-10,426.570007,428.109985,416.489990,421.799988,421.708405,35390800
2023-07-11,424.809998,427.579987,420.670013,424.049988,423.957886,29824400
2023-07-12,430.329987,439.350006,427.769989,439.019989,438.924622,48127700
2023-07-13,445.179993,461.549988,444.920013,459.769989,459.670135,47820400
2023-07-14,465.829987,480.880005,450.600006,454.690002,454.591248,77066400
2023-07-17,462.890015,464.959991,452.619995,464.609985,464.509094,51048800
2023-07-18,467.010010,478.959991,457.339996,474.940002,474.836853,57019000
2023-07-19,474.640015,478.179993,467.420013,470.769989,470.667725,42750200
2023-07-20,465.070007,470.869995,450.619995,455.200012,455.101135,53786500
2023-07-21,457.880005,458.660004,441.000000,443.089996,442.993774,96283200
2023-07-24,447.309998,451.089996,440.399994,446.119995,446.023102,38251600
2023-07-25,449.410004,461.829987,449.230011,456.790009,456.690796,34808100
2023-07-26,460.209991,460.529999,446.299988,454.519989,454.421265,36423700
2023-07-27,465.190002,473.950012,457.500000,459.000000,458.900299,45597600
2023-07-28,466.679993,470.269989,463.809998,467.500000,467.398438,33119400
2023-07-31,467.540009,471.299988,465.059998,467.290009,467.188538,25105500
2023-08-01,464.600006,469.000000,460.269989,465.070007,464.968994,23785800
2023-08-02,458.309998,458.399994,433.869995,442.690002,442.593872,53014200
2023-08-03,438.000000,451.179993,438.000000,445.149994,445.053314,32417600
2023-08-04,449.850006,456.420013,443.929993,446.799988,446.702942,36225800
2023-08-07,451.109985,455.399994,445.630005,454.170013,454.071381,32215400
2023-08-08,448.529999,452.420013,440.559998,446.640015,446.542969,35384300
2023-08-09,442.739990,443.119995,421.339996,425.540009,425.447571,58644900
2023-08-10,421.600006,435.739990,418.350006,423.880005,423.787933,49270500
2023-08-11,417.510010,420.179993,406.390015,408.549988,408.461243,53200900
2023-08-14,404.859985,438.000000,403.109985,437.529999,437.434967,69028600
2023-08-15,445.600006,452.679993,437.100006,439.399994,439.304565,67651200
2023-08-16,445.200012,446.750000,434.059998,434.859985,434.765533,52745100
2023-08-17,439.700012,440.619995,430.010010,433.440002,433.345856,45239500
2023-08-18,426.350006,435.779999,416.600006,432.989990,432.895935,58262200
2023-08-21,444.940002,470.649994,442.220001,469.670013,469.567993,69257300
2023-08-22,481.350006,481.869995,453.329987,456.679993,456.580811,75720700
2023-08-23,458.660004,472.000000,452.079987,471.160004,471.057678,77904600
2023-08-24,502.160004,502.660004,471.589996,471.630005,471.527557,115604400
2023-08-25,470.119995,478.049988,450.239990,460.179993,460.080048,92534100
2023-08-28,464.820007,469.799988,448.880005,468.350006,468.248291,68519200
2023-08-29,466.660004,490.809998,463.910004,487.839996,487.734039,70139700
2023-08-30,490.440002,499.269989,484.250000,492.640015,492.533020,73520600
2023-08-31,493.799988,497.440002,489.579987,493.549988,493.442780,52857000
2023-09-01,497.619995,498.000000,481.420013,485.089996,484.984650,46319100
2023-09-05,482.230011,488.510010,478.600006,485.480011,485.374603,38265300
2023-09-06,484.410004,485.489990,465.799988,470.609985,470.546539,46867000
2023-09-07,455.250000,463.440002,451.519989,462.410004,462.347656,43333000
2023-09-08,459.420013,466.059998,452.709991,455.720001,455.658569,47306900
2023-09-11,461.480011,461.630005,443.119995,451.779999,451.719116,47396600
2023-09-12,447.380005,456.730011,445.309998,448.700012,448.639496,34925600
2023-09-13,446.000000,459.299988,445.029999,454.850006,454.788696,39835500
2023-09-14,459.500000,459.869995,451.309998,455.809998,455.748535,37009700
2023-09-15,453.410004,455.989990,438.079987,439.000000,438.940796,50571300
2023-09-18,427.480011,442.420013,420.000000,439.660004,439.600708,50027100
2023-09-19,438.329987,439.660004,430.019989,435.200012,435.141327,37306400
2023-09-20,436.000000,439.029999,422.230011,422.390015,422.333069,36710800
2023-09-21,415.829987,421.000000,409.799988,410.170013,410.114716,44893000
2023-09-22,415.720001,421.149994,412.309998,416.100006,416.043884,47923600
2023-09-25,415.910004,425.359985,411.769989,422.220001,422.163086,41909100
2023-09-26,420.010010,428.200012,416.549988,419.109985,419.053497,40228200
2023-09-27,423.299988,428.720001,416.290009,424.679993,424.622742,44493500
2023-09-28,424.600006,434.459991,421.149994,430.890015,430.831940,42466300
2023-09-29,438.269989,441.440002,433.070007,434.989990,434.931335,39722100
2023-10-02,440.299988,451.750000,438.609985,447.820007,447.759644,43329800
2023-10-03,448.079987,451.299988,432.459991,435.170013,435.111328,47085000
2023-10-04,437.420013,441.429993,432.920013,440.410004,440.350616,36182100
2023-10-05,440.500000,449.000000,438.880005,446.880005,446.819763,39348300
2023-10-06,441.929993,457.890015,440.260010,457.619995,457.558319,43339700
2023-10-09,448.420013,456.049988,443.679993,452.730011,452.668976,40967500
